Cruise,Date.Time,DayOfYear,Station,Lat,Lon,Depth.Bottom,SampleNum,Pressure,Temperature,Salinity,DO2,MLD_bvfnoSmooth,bvf_noSmooth,Chlorophyll,Nitrate_plus_Nitrite,Silicate,Diatoms1,Diatoms2,Prasinophytes,Cryptophytes,Dinoflagellates,Haptophytes,Dictyochophytes,Raphidophytes,Cyanobacteria,TchlA,total diatoms,chlidea,Me-chlide a,sum,ratio,Total cells/ml,Total autrophs/ml,centric diatoms,pennate diatoms,prasinophytes,cryptophytes,auto dinoflagellates,prymnesiophytes,dictyochophytes,raphidophytes,chlorophytes,euglenophytes,UID autotroph,unidentified dinoflagellates,unidentified flagellates,Dominant Species,closest_ecospace_time,PP1-DIA,PP2-NAN,PP3-PIC,PZ1-CIL,PZ2-DIN,ssc-DIA,ssc-FLA,ssc-CIL,sdomain,ecospace_closest_lat,ecospace_closest_lon
2015-017,2015-04-01 23:42:00,92,SI,48.652,-123.502,187.0,9,1.5,9.92,27.16,9.07,4.0,0.001043072,29.36,4.63,19.43,23.7,2.06,0.0,0.18,0.01,0.0,0.0,0.22,0.0,26.16,25.76,4.99,9.941,14.931,0.571,,,,,,,,,,,,,,,,,2015-04-02 00:00:00,2.1,1.697,0.383,0.636,0.511,10.321000099182129,0.2879999876022339,0.23899999260902405,SGS,48.65838623046875,-123.49950408935545
2015-017,2015-04-02 03:24:00,92,59,48.63,-123.243,233.0,23,2.1,9.11,29.23,5.06,32.0,0.000157929,0.67,23.23,41.81,0.28,0.01,0.0,0.04,0.01,0.1,0.0,0.0,0.0,0.44,0.29,0.015,0.029,0.044,0.1,346,186.0,160.0,2.0,0.0,10.0,2.0,0.0,5.0,0.0,0.0,1.0,6.0,11.0,149.0,Skeletonema costatum,2015-04-02 00:00:00,1.732,1.482,0.308,0.384,0.364,1.1490000486373901,0.17900000512599945,0.2070000022649765,SGI,48.62664794921875,-123.2475814819336
2015-017,2015-04-02 15:23:00,93,102,48.5,-124.733,254.0,37,1.6,10.45,29.5,6.38,19.0,0.000735906,3.43,5.7,9.85,2.39,0.48,0.03,0.14,0.03,0.0,0.01,0.04,0.01,3.13,2.87,0.369,0.652,1.021,0.326,1416,1238.0,1075.0,81.0,8.0,58.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,16.0,163.0,Skeletonema costatum,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-02 18:19:00,93,75,48.469,-124.549,226.0,51,1.9,9.57,30.35,6.17,96.0,0.000259159,4.69,15.58,24.48,3.2,0.67,0.03,0.2,0.03,0.0,0.02,0.05,0.01,4.22,3.86,0.47,0.821,1.291,0.306,,,,,,,,,,,,,,,,,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-02 23:03:00,93,72,48.308,-124.067,186.0,64,1.7,10.99,29.29,7.29,55.0,0.000460578,7.15,1.17,3.43,4.06,1.02,0.14,0.75,0.35,0.0,0.01,0.06,0.0,6.39,5.08,0.523,0.869,1.392,0.218,1207,1079.0,908.0,31.0,66.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,113.0,Skeletonema costatum,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 02:09:00,93,69,48.261,-123.72,177.0,76,1.7,10.29,29.95,7.33,67.0,0.000523645,11.13,,,6.76,1.57,0.07,0.47,0.27,0.0,0.0,0.03,0.01,9.19,8.34,1.748,2.516,4.264,0.464,,,,,,,,,,,,,,,,,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 05:34:00,93,ADCP,48.233,-123.301,118.0,86,1.6,10.13,30.22,6.69,59.0,0.000357443,7.95,13.25,20.29,4.97,1.07,0.07,0.45,0.24,0.0,0.03,0.02,0.01,6.85,6.03,0.755,1.237,1.992,0.291,2638,2570.0,2313.0,73.0,48.0,68.0,15.0,53.0,0.0,0.0,0.0,0.0,0.0,24.0,44.0,Skeletonema costatum,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 08:46:00,93,65,48.265,-123.163,124.0,96,1.8,9.76,30.31,6.44,58.0,0.000371775,8.79,13.59,19.52,5.49,1.1,0.1,0.58,0.23,0.0,0.01,0.01,0.0,7.52,6.59,1.607,2.182,3.789,0.504,,,,,,,,,,,,,,,,,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 10:34:00,93,63,48.243,-122.975,152.0,109,2.0,9.89,29.88,5.9,52.0,0.00033663,2.56,19.82,36.45,1.34,0.09,0.04,0.3,0.05,0.12,0.02,0.01,0.0,1.99,1.43,0.093,0.139,0.232,0.116,2030,1971.0,1940.0,3.0,2.0,20.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,12.0,47.0,Skeletonema costatum,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 11:55:00,93,62,48.38,-123.044,148.0,120,2.0,9.36,30.05,5.63,82.0,0.000301011,1.17,21.23,37.91,0.38,0.06,0.02,0.19,0.04,0.15,0.01,0.0,0.0,0.84,0.44,0.033,0.053,0.086,0.102,,,,,,,,,,,,,,,,,1900-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
2015-017,2015-04-03 20:20:00,94,56,48.773,-123.025,220.0,134,1.3,9.24,27.37,5.57,7.0,0.001302086,1.69,21.2,40.77,1.09,0.0,0.02,0.09,0.01,0.1,0.01,0.0,0.0,1.34,1.1,0.023,0.086,0.109,0.081,1770,1649.0,1610.0,0.0,5.0,29.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,107.0,Skeletonema costatum,2015-04-05 00:00:00,2.111,1.615,0.383,0.538,0.465,2.3239998817443848,0.09600000083446503,0.1340000033378601,SGI,48.77114868164063,-123.0221481323242
2015-017,2015-04-04 01:32:00,94,46,48.856,-123.179,177.0,146,1.5,9.29,27.39,5.57,4.0,0.00116727,2.29,19.06,38.41,1.17,0.03,0.01,0.06,0.01,0.13,0.01,0.0,0.0,1.41,1.2,0.086,0.172,0.258,0.183,,,,,,,,,,,,,,,,,2015-04-05 00:00:00,2.103,1.652,0.383,0.642,0.513,2.7720000743865967,0.10400000214576721,0.22699999809265137,SGI,48.85482025146485,-123.17511749267578
