Year,Bloom Date,Day of Year,Bloom Early Late
1980,1980-04-04,95,cusp
1981,1981-03-06,65,early
1982,1982-03-21,80,avg
1983,1983-03-21,80,avg
1984,1984-03-14,74,avg
1985,1985-03-18,77,avg
1986,1986-03-21,80,avg
1987,1987-03-24,83,avg
1988,1988-03-14,74,avg
1989,1989-04-08,98,late
1990,1990-03-24,83,avg
1991,1991-04-14,104,late
1992,1992-03-02,62,early
1993,1993-03-27,86,avg
1994,1994-02-04,35,early
1995,1995-03-30,89,avg
1996,1996-03-26,86,avg
1997,1997-03-24,83,avg
1998,1998-03-15,74,avg
1999,1999-04-05,95,cusp
2000,2000-03-20,80,avg
2001,2001-03-15,74,avg
2002,2002-03-27,86,avg
2003,2003-02-10,41,early
2004,2004-02-22,53,early
2005,2005-02-22,53,early
2006,2006-03-30,89,avg
2007,2007-04-05,95,cusp
2008,2008-03-23,83,avg
2009,2009-03-27,86,avg
2010,2010-03-03,62,early
2011,2011-04-20,110,late
2012,2012-04-04,95,cusp
2013,2013-03-27,86,avg
2014,2014-03-15,74,avg
2015,2015-02-19,50,early
2016,2016-03-23,83,avg
2017,2017-04-17,107,late
2018,2018-03-15,74,avg
